Millis,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z
2279633,0.98,0.10,-0.13,0.11,2.64,-10.40,-2.12
2279665,0.97,0.12,-0.17,0.11,1.82,-10.23,-1.99
2279698,0.97,0.13,-0.20,0.11,1.04,-10.12,-1.39
2279731,0.96,0.14,-0.22,0.11,-0.80,-9.60,-0.89
2279764,0.96,0.14,-0.22,0.11,-2.13,-8.99,-0.61
2279797,0.96,0.14,-0.21,0.11,-1.39,-7.74,-0.32
2279830,0.97,0.12,-0.16,0.10,-0.56,-8.99,-0.14
2279863,0.99,0.10,-0.09,0.10,-1.04,-9.72,-0.54
2279895,0.99,0.08,-0.01,0.11,-0.70,-7.70,-1.09
2279927,0.99,0.06,0.03,0.12,3.80,-8.44,-1.86
2279960,0.99,0.05,0.05,0.14,7.66,-9.97,-3.57
2279993,0.99,0.06,0.03,0.14,7.05,-10.52,-3.07
2280025,0.99,0.08,-0.01,0.14,5.60,-10.48,-3.08
2280058,0.98,0.11,-0.06,0.14,4.43,-12.10,-2.87
2280091,0.97,0.15,-0.12,0.12,4.10,-8.15,-2.26
2282004,0.97,0.15,-0.13,0.12,8.65,-4.44,-2.20
2282036,0.97,0.15,-0.13,0.12,8.75,-4.32,-2.17
2282068,0.97,0.15,-0.13,0.13,8.77,-4.32,-2.14
2282101,0.97,0.15,-0.13,0.13,8.76,-4.28,-2.14
2282134,0.97,0.15,-0.13,0.13,8.76,-4.20,-2.14
2282167,0.97,0.15,-0.13,0.13,8.79,-4.11,-2.12
2282200,0.97,0.15,-0.13,0.13,8.82,-4.17,-2.13
2282233,0.97,0.15,-0.13,0.13,8.84,-4.22,-2.17
2282266,0.97,0.15,-0.14,0.13,8.93,-4.14,-2.20
2282298,0.97,0.15,-0.14,0.13,8.95,-4.12,-2.17
2282331,0.97,0.15,-0.14,0.13,8.88,-4.08,-2.16
2282364,0.97,0.16,-0.14,0.13,8.91,-4.10,-2.16
2282397,0.97,0.16,-0.14,0.13,8.92,-4.06,-2.18
2282430,0.97,0.16,-0.15,0.13,8.91,-4.16,-2.16
2282463,0.97,0.16,-0.15,0.13,8.87,-4.02,-2.15
2282496,0.97,0.16,-0.15,0.13,8.93,-3.97,-2.11
2282529,0.97,0.16,-0.16,0.13,8.87,-4.08,-2.12
2282561,0.97,0.16,-0.16,0.14,8.86,-4.03,-2.16
2282593,0.96,0.16,-0.16,0.14,8.92,-4.06,-2.11
2282626,0.96,0.16,-0.16,0.14,8.88,-3.99,-2.11
2282659,0.96,0.16,-0.17,0.14,8.81,-4.02,-2.15
2282692,0.96,0.16,-0.17,0.14,8.83,-4.08,-2.12
2282725,0.96,0.16,-0.17,0.14,8.92,-4.01,-2.11
2282758,0.96,0.16,-0.18,0.14,8.90,-4.04,-2.10
2282790,0.96,0.16,-0.18,0.14,8.90,-4.04,-2.13
2282822,0.96,0.16,-0.18,0.14,8.93,-3.99,-2.11
2282854,0.96,0.16,-0.18,0.14,8.92,-4.00,-2.09
2282887,0.96,0.16,-0.19,0.14,8.93,-4.02,-2.11
2282920,0.96,0.16,-0.19,0.14,8.90,-4.05,-2.13
2282953,0.96,0.16,-0.19,0.14,8.84,-4.07,-2.13
2282986,0.96,0.16,-0.20,0.14,8.89,-4.02,-2.16
2283019,0.96,0.16,-0.20,0.14,8.92,-4.04,-2.14
2283052,0.95,0.16,-0.20,0.14,8.93,-4.08,-2.12
2283084,0.95,0.17,-0.21,0.14,8.92,-4.06,-2.12
2283117,0.95,0.17,-0.21,0.14,8.88,-4.08,-2.12
2283150,0.95,0.17,-0.22,0.14,8.82,-4.04,-2.11
2283183,0.95,0.17,-0.22,0.14,8.83,-4.11,-2.12
2283216,0.95,0.17,-0.22,0.14,8.87,-4.14,-2.12
2283249,0.95,0.17,-0.23,0.14,8.93,-4.19,-2.13
2283282,0.95,0.17,-0.23,0.14,8.95,-4.24,-2.15
2283315,0.95,0.17,-0.24,0.14,8.96,-4.33,-2.15
2283348,0.94,0.17,-0.24,0.14,8.94,-4.31,-2.13
2283381,0.94,0.17,-0.25,0.14,8.82,-4.35,-2.10
2283414,0.94,0.17,-0.25,0.14,8.74,-4.35,-2.10
2283447,0.94,0.18,-0.26,0.14,8.59,-4.46,-2.08
2283480,0.94,0.18,-0.27,0.14,8.55,-4.48,-2.06
2283513,0.94,0.18,-0.27,0.14,8.51,-4.52,-1.99
2283546,0.93,0.18,-0.28,0.14,8.47,-4.55,-1.95
2283579,0.93,0.18,-0.28,0.14,8.50,-4.56,-1.94
2283612,0.93,0.18,-0.28,0.14,8.54,-4.61,-1.88
2283645,0.93,0.18,-0.29,0.14,8.56,-4.72,-1.93
2283678,0.93,0.18,-0.29,0.14,8.59,-4.71,-1.99
2283711,0.93,0.18,-0.29,0.14,8.52,-4.69,-1.99
2283744,0.93,0.18,-0.30,0.14,8.41,-4.79,-1.96
2283777,0.93,0.18,-0.30,0.14,8.42,-4.73,-1.99
2283810,0.93,0.18,-0.30,0.14,8.48,-4.76,-2.02
2283843,0.92,0.18,-0.31,0.14,8.57,-4.70,-2.00
2283875,0.92,0.18,-0.31,0.14,8.60,-4.69,-1.97
2283907,0.92,0.18,-0.31,0.14,8.51,-4.70,-1.99
2283940,0.92,0.18,-0.31,0.14,8.58,-4.67,-2.02
2283973,0.92,0.18,-0.32,0.14,8.56,-4.74,-2.08
2284006,0.92,0.18,-0.32,0.14,8.52,-4.69,-2.10
2284039,0.92,0.18,-0.32,0.14,8.54,-4.71,-2.08
2284072,0.92,0.18,-0.32,0.14,8.53,-4.63,-2.09
2284105,0.92,0.18,-0.32,0.14,8.55,-4.62,-2.09
2284137,0.92,0.18,-0.33,0.15,8.58,-4.64,-2.09
2284169,0.92,0.18,-0.33,0.15,8.66,-4.61,-2.10
2284202,0.92,0.18,-0.33,0.15,8.61,-4.51,-2.09
2284235,0.91,0.18,-0.33,0.15,8.58,-4.54,-2.06
2284268,0.91,0.18,-0.33,0.15,8.59,-4.53,-2.07
2284301,0.91,0.18,-0.34,0.15,8.69,-4.49,-2.09
2284334,0.91,0.18,-0.34,0.15,8.73,-4.47,-2.10
2284367,0.91,0.18,-0.34,0.15,8.74,-4.43,-2.12
2284399,0.91,0.18,-0.34,0.15,8.73,-4.53,-2.12
2284432,0.91,0.18,-0.34,0.15,8.73,-4.49,-2.14
2284465,0.91,0.18,-0.34,0.15,8.78,-4.47,-2.16
2284498,0.91,0.18,-0.35,0.15,8.75,-4.42,-2.13
2284531,0.91,0.18,-0.35,0.15,8.73,-4.40,-2.11
2284564,0.91,0.18,-0.35,0.15,8.75,-4.35,-2.09
2284597,0.91,0.18,-0.35,0.15,8.75,-4.31,-2.10
2284630,0.91,0.18,-0.35,0.15,8.78,-4.34,-2.10
2284662,0.90,0.18,-0.36,0.15,8.74,-4.35,-2.05
2284695,0.90,0.18,-0.36,0.15,8.73,-4.35,-2.06
2284728,0.90,0.18,-0.36,0.15,8.71,-4.35,-2.09
2284761,0.90,0.18,-0.36,0.15,8.76,-4.38,-2.12
2284794,0.90,0.18,-0.37,0.15,8.78,-4.42,-2.12
2284827,0.90,0.18,-0.37,0.15,8.80,-4.38,-2.09
2284860,0.90,0.18,-0.37,0.15,8.79,-4.31,-2.07
2284892,0.90,0.18,-0.37,0.15,8.72,-4.34,-2.08
2284924,0.90,0.18,-0.38,0.15,8.72,-4.35,-2.07
2284956,0.89,0.18,-0.38,0.16,8.69,-4.34,-2.11
2284989,0.89,0.18,-0.38,0.16,8.65,-4.34,-2.05
2285022,0.89,0.18,-0.38,0.16,8.76,-4.32,-2.04
2285055,0.89,0.18,-0.39,0.16,8.77,-4.35,-2.07
2285088,0.89,0.18,-0.39,0.16,8.75,-4.34,-2.10
2285121,0.89,0.18,-0.39,0.16,8.74,-4.32,-2.08
2285154,0.89,0.18,-0.39,0.16,8.73,-4.30,-2.09
2285186,0.89,0.18,-0.39,0.16,8.73,-4.31,-2.12
2285218,0.89,0.18,-0.40,0.16,8.74,-4.27,-2.10
2285251,0.89,0.18,-0.40,0.16,8.77,-4.32,-2.12
2285284,0.88,0.18,-0.40,0.16,8.81,-4.42,-2.14
