Millis,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z 
2384320,0.99,0.06,-0.08,-0.11,-1.74,-10.62,0.20
2384353,0.99,0.04,-0.02,-0.11,1.36,-10.59,-0.30
2384385,0.99,0.03,0.02,-0.11,2.30,-10.62,-0.78
2384417,0.99,0.03,0.03,-0.11,3.40,-10.44,-1.31
2384450,0.99,0.04,0.02,-0.11,3.56,-9.45,-1.21
2384483,0.99,0.04,0.01,-0.10,3.26,-9.24,-1.08
2384516,0.99,0.04,0.01,-0.10,2.43,-9.68,-0.95
2384548,0.99,0.04,-0.00,-0.09,2.20,-10.04,-0.97
2384580,1.00,0.04,-0.01,-0.09,2.03,-10.01,-0.89
2384613,1.00,0.04,-0.02,-0.08,1.97,-9.81,-0.87
2384645,1.00,0.04,-0.03,-0.08,2.00,-9.56,-0.96
2384678,1.00,0.04,-0.03,-0.07,1.75,-9.57,-1.08
2384711,1.00,0.03,-0.03,-0.06,2.07,-9.87,-1.00
2384744,1.00,0.04,-0.04,-0.06,1.91,-10.25,-1.00
2384777,1.00,0.04,-0.04,-0.05,1.87,-9.98,-1.01
2384810,1.00,0.04,-0.05,-0.04,1.79,-9.86,-0.93
2384843,1.00,0.04,-0.05,-0.04,1.60,-9.71,-0.95
2384876,1.00,0.04,-0.06,-0.03,1.54,-9.63,-0.94
2384909,1.00,0.04,-0.06,-0.02,1.45,-9.57,-0.95
2384942,1.00,0.04,-0.06,-0.02,1.67,-9.11,-1.00
2384975,1.00,0.03,-0.06,-0.01,2.61,-9.61,-0.88
2385008,1.00,0.02,-0.06,-0.02,2.93,-10.60,-0.91
2385041,1.00,0.02,-0.06,-0.02,3.39,-11.13,-1.00
2385074,1.00,0.03,-0.07,-0.04,3.55,-11.66,-1.19
2385107,0.99,0.05,-0.08,-0.07,3.23,-11.35,-1.66
2385140,0.99,0.08,-0.09,-0.11,1.80,-9.46,-1.63
2385173,0.98,0.09,-0.09,-0.13,-0.46,-7.04,-0.78
2385206,0.98,0.09,-0.09,-0.15,-1.46,-8.32,-0.11
2385239,0.98,0.09,-0.09,-0.15,-0.82,-8.79,0.24
2385272,0.98,0.07,-0.09,-0.13,0.42,-10.25,0.09
2385305,0.99,0.06,-0.09,-0.12,1.30,-10.20,-0.25
2385338,0.99,0.05,-0.09,-0.11,1.68,-10.26,-0.51
2385371,0.99,0.04,-0.09,-0.09,1.53,-10.11,-0.69
2385404,0.99,0.03,-0.09,-0.08,1.22,-9.96,-0.81
2385436,0.99,0.03,-0.08,-0.07,1.00,-9.84,-0.90
2385468,1.00,0.02,-0.07,-0.06,0.97,-9.60,-1.05
2385501,1.00,0.01,-0.07,-0.05,1.03,-9.17,-1.40
2385534,1.00,0.01,-0.07,-0.04,0.91,-10.21,-1.67
2385567,1.00,-0.00,-0.06,-0.02,1.60,-10.48,-1.84
2385600,1.00,-0.00,-0.06,-0.01,2.59,-10.56,-2.06
2385633,1.00,0.00,-0.05,-0.01,3.46,-10.90,-1.79
2385666,1.00,0.02,-0.05,-0.02,4.77,-12.79,-1.41
2385698,1.00,0.05,-0.06,-0.04,4.19,-12.60,-1.85
2385730,0.99,0.09,-0.08,-0.08,2.87,-9.19,-1.74
2385763,0.98,0.11,-0.08,-0.11,-0.49,-5.18,-0.22
2385796,0.98,0.12,-0.08,-0.13,-2.53,-6.63,0.87
2385829,0.98,0.11,-0.08,-0.13,-2.06,-9.11,0.94
2385862,0.99,0.09,-0.08,-0.10,-0.29,-9.66,0.38
2385895,0.99,0.07,-0.08,-0.08,1.72,-10.54,-0.19
2385928,0.99,0.06,-0.08,-0.05,2.38,-10.73,-0.29
2385960,0.99,0.05,-0.08,-0.04,2.23,-10.35,-0.43
2385993,1.00,0.04,-0.08,-0.03,2.01,-10.10,-0.45
2386026,1.00,0.04,-0.08,-0.02,1.67,-10.04,-0.51
2386059,1.00,0.03,-0.08,-0.02,1.53,-9.98,-0.48
2386092,1.00,0.03,-0.07,-0.02,1.28,-9.98,-0.51
2386125,1.00,0.03,-0.07,-0.02,0.91,-10.08,-0.53
2386157,1.00,0.03,-0.07,-0.02,1.13,-10.27,-0.62
2386190,1.00,0.03,-0.08,-0.02,1.37,-10.14,-0.68
2386222,1.00,0.03,-0.08,-0.01,1.49,-9.71,-0.69
2386254,1.00,0.03,-0.08,-0.01,1.45,-9.41,-0.57
2386287,1.00,0.03,-0.07,-0.01,0.90,-9.79,-0.61
2386320,1.00,0.02,-0.06,-0.01,0.45,-10.24,-0.64
2386353,1.00,0.03,-0.05,-0.01,0.98,-10.60,-0.74
2386386,1.00,0.03,-0.06,-0.01,1.63,-10.54,-0.88
2386419,1.00,0.03,-0.07,-0.01,2.02,-9.56,-0.82
2386452,1.00,0.03,-0.07,-0.01,1.66,-9.33,-0.73
2386484,1.00,0.03,-0.06,-0.01,1.08,-9.63,-0.68
2386516,1.00,0.03,-0.06,-0.01,0.59,-10.16,-0.65
2386549,1.00,0.03,-0.06,-0.00,1.15,-10.45,-0.68
2386582,1.00,0.03,-0.07,-0.00,1.65,-10.13,-0.77
2386615,1.00,0.04,-0.07,0.00,1.73,-9.64,-0.70
2386648,1.00,0.03,-0.07,0.00,1.44,-9.55,-0.60
2386681,1.00,0.03,-0.07,0.00,1.05,-9.78,-0.55
2386714,1.00,0.03,-0.06,0.00,0.70,-10.27,-0.61
2386746,1.00,0.03,-0.06,0.00,1.11,-10.25,-0.66
2386778,1.00,0.03,-0.07,0.00,1.39,-9.98,-0.67
2386811,1.00,0.03,-0.07,0.00,1.42,-9.77,-0.66
2386844,1.00,0.03,-0.07,0.00,1.12,-9.70,-0.61
2386877,1.00,0.03,-0.06,0.00,0.90,-9.87,-0.59
2386910,1.00,0.03,-0.05,0.00,0.98,-10.21,-0.64
2386943,1.00,0.03,-0.06,0.00,1.25,-10.22,-0.67
2386976,1.00,0.03,-0.07,0.00,1.58,-9.93,-0.67
2387008,1.00,0.03,-0.07,0.00,1.46,-9.84,-0.66
2387040,1.00,0.03,-0.07,0.00,1.22,-9.76,-0.60
2387073,1.00,0.03,-0.06,0.00,1.01,-9.83,-0.57
2387106,1.00,0.03,-0.06,0.00,0.91,-10.21,-0.56
2387139,1.00,0.03,-0.06,0.00,1.63,-10.39,-0.69
2387172,1.00,0.04,-0.07,-0.00,1.75,-9.87,-0.66
2387205,1.00,0.03,-0.07,-0.00,1.41,-9.66,-0.59
2387238,1.00,0.03,-0.07,-0.00,1.01,-9.57,-0.52
2387271,1.00,0.03,-0.06,-0.01,0.58,-9.80,-0.48
2387304,1.00,0.03,-0.06,-0.01,0.60,-10.06,-0.46
2387337,1.00,0.03,-0.05,-0.00,0.89,-10.25,-0.53
2387370,1.00,0.03,-0.06,-0.00,1.39,-10.19,-0.62
2387403,1.00,0.03,-0.06,0.00,1.65,-9.88,-0.64
2387436,1.00,0.03,-0.07,0.00,1.50,-9.75,-0.61
2387469,1.00,0.03,-0.06,0.00,1.21,-9.72,-0.61
2387502,1.00,0.03,-0.06,0.00,0.98,-9.96,-0.56
2387535,1.00,0.03,-0.06,0.00,1.14,-10.06,-0.67
2387568,1.00,0.03,-0.06,0.00,1.39,-10.08,-0.75
2387601,1.00,0.03,-0.06,0.00,1.49,-9.98,-0.73
2387634,1.00,0.03,-0.07,0.00,1.34,-9.93,-0.69
2387667,1.00,0.03,-0.06,0.00,1.14,-9.89,-0.65
2387700,1.00,0.03,-0.06,0.00,0.99,-9.93,-0.64
2387733,1.00,0.03,-0.05,0.00,1.08,-9.94,-0.63
2387766,1.00,0.03,-0.06,0.00,1.24,-10.01,-0.64
2387798,1.00,0.03,-0.06,0.00,1.45,-10.04,-0.67
2387830,1.00,0.03,-0.06,0.00,1.51,-9.93,-0.65
2387863,1.00,0.03,-0.07,0.00,1.42,-9.90,-0.60
2387896,1.00,0.03,-0.06,0.00,1.24,-9.93,-0.59
2387929,1.00,0.03,-0.06,-0.00,1.11,-9.90,-0.57
2387962,1.00,0.03,-0.06,0.00,1.19,-10.05,-0.63
2387995,1.00,0.03,-0.06,0.00,1.33,-9.99,-0.65
2388028,1.00,0.03,-0.07,0.00,1.39,-9.91,-0.64
2388060,1.00,0.03,-0.06,0.00,1.29,-9.87,-0.61
2388092,1.00,0.03,-0.06,0.00,1.22,-9.88,-0.57
2388125,1.00,0.03,-0.06,0.00,1.21,-9.89,-0.57
2388158,1.00,0.03,-0.06,0.00,1.33,-9.97,-0.63
2388191,1.00,0.03,-0.06,0.00,1.43,-10.06,-0.68
2388223,1.00,0.03,-0.07,0.00,1.48,-9.98,-0.69
2388256,1.00,0.03,-0.07,0.00,1.45,-9.92,-0.68
2388289,1.00,0.03,-0.07,0.00,1.32,-9.87,-0.67
2388321,1.00,0.03,-0.06,0.00,1.30,-9.92,-0.66
2388354,1.00,0.03,-0.06,0.00,1.27,-9.98,-0.68
2388387,1.00,0.03,-0.06,0.00,1.39,-9.98,-0.69
2388420,1.00,0.03,-0.07,0.00,1.45,-9.97,-0.68
2388453,1.00,0.03,-0.07,0.00,1.39,-9.93,-0.67
2388486,1.00,0.03,-0.07,0.00,1.32,-9.93,-0.64
2388519,1.00,0.03,-0.07,0.00,1.32,-9.91,-0.61
2388552,1.00,0.03,-0.07,0.00,1.31,-9.92,-0.62
2388584,1.00,0.03,-0.07,0.00,1.33,-9.93,-0.63
2388617,1.00,0.03,-0.07,0.00,1.35,-9.96,-0.65
2388649,1.00,0.03,-0.07,0.00,1.35,-9.95,-0.64
2388682,1.00,0.03,-0.07,0.00,1.35,-9.92,-0.63
2388715,1.00,0.03,-0.07,0.00,1.37,-9.91,-0.64
2388748,1.00,0.03,-0.07,0.00,1.40,-9.91,-0.64
2388781,1.00,0.03,-0.07,0.00,1.40,-9.93,-0.68
2388814,1.00,0.03,-0.07,0.00,1.47,-9.92,-0.69
2388846,1.00,0.03,-0.07,0.00,1.49,-9.93,-0.70
2388878,1.00,0.03,-0.08,0.00,1.53,-9.95,-0.69
2388911,1.00,0.04,-0.08,0.00,1.56,-9.96,-0.73
2388944,1.00,0.03,-0.08,0.00,1.57,-9.98,-0.67
2388977,1.00,0.03,-0.08,0.00,1.54,-9.95,-0.68
2389010,1.00,0.03,-0.07,0.00,1.48,-9.93,-0.65
2389043,1.00,0.03,-0.07,0.00,1.47,-9.95,-0.65
2389076,1.00,0.03,-0.07,0.00,1.45,-9.94,-0.64
2389108,1.00,0.03,-0.07,0.00,1.46,-9.85,-0.67
2389140,1.00,0.03,-0.07,0.00,1.41,-9.91,-0.66
2389173,1.00,0.03,-0.07,0.00,1.40,-9.92,-0.63
2389206,1.00,0.03,-0.07,0.00,1.40,-9.95,-0.67
2389239,1.00,0.03,-0.07,0.00,1.43,-9.96,-0.67
2389272,1.00,0.04,-0.07,0.00,1.41,-9.93,-0.69
2389305,1.00,0.04,-0.08,0.00,1.49,-10.02,-0.72
2389338,1.00,0.04,-0.08,0.00,1.38,-9.96,-0.67
2389370,1.00,0.04,-0.08,0.00,1.29,-10.05,-0.73
2389402,1.00,0.04,-0.08,-0.00,1.29,-9.78,-0.70
2389435,1.00,0.04,-0.08,-0.00,1.02,-9.71,-0.67
2389468,1.00,0.04,-0.08,-0.00,0.52,-10.41,-0.61
2389501,1.00,0.04,-0.08,0.00,1.16,-10.65,-0.75
2389534,0.99,0.04,-0.10,0.00,1.69,-9.83,-0.75
2389567,0.99,0.04,-0.11,0.00,1.05,-9.46,-0.56
2389600,0.99,0.04,-0.10,0.00,0.16,-9.48,-0.39
2389633,0.99,0.04,-0.09,0.00,-0.47,-9.90,-0.29
2389666,1.00,0.04,-0.09,0.00,0.05,-10.46,-0.44
2389699,1.00,0.04,-0.09,0.01,0.83,-10.31,-0.52
2389732,1.00,0.04,-0.09,0.01,1.15,-9.73,-0.47
2389765,1.00,0.03,-0.08,0.01,0.78,-9.73,-0.44
2389798,1.00,0.03,-0.08,0.01,0.38,-9.82,-0.43
2389831,1.00,0.03,-0.07,0.01,0.06,-10.18,-0.46
2389864,1.00,0.03,-0.07,0.01,0.67,-10.38,-0.70
2389897,1.00,0.03,-0.07,0.00,0.81,-10.24,-0.78
2389930,1.00,0.03,-0.07,0.00,0.80,-9.73,-0.72
2389963,1.00,0.03,-0.07,0.00,0.57,-9.39,-0.71
2389996,1.00,0.03,-0.06,-0.00,-0.05,-10.18,-0.74
2390029,1.00,0.03,-0.06,-0.00,0.12,-10.36,-0.78
2390062,1.00,0.03,-0.06,0.00,0.33,-10.13,-0.73
2390095,1.00,0.03,-0.06,0.00,0.24,-9.86,-0.70
2390128,1.00,0.03,-0.05,0.00,-0.02,-9.99,-0.66
2390160,1.00,0.03,-0.05,0.00,0.23,-10.24,-0.72
2390192,1.00,0.03,-0.05,0.01,0.53,-10.22,-0.76
2390225,1.00,0.03,-0.05,0.00,0.56,-9.94,-0.71
2390258,1.00,0.03,-0.05,0.00,0.21,-9.67,-0.67
2390291,1.00,0.03,-0.05,0.00,-0.28,-10.10,-0.68
2390324,1.00,0.03,-0.05,-0.00,0.04,-10.22,-0.75
2390357,1.00,0.03,-0.05,0.00,0.19,-10.04,-0.78
2390390,1.00,0.04,-0.05,0.00,0.15,-9.93,-0.74
2390422,1.00,0.04,-0.04,0.00,-0.06,-9.93,-0.62
2390454,1.00,0.04,-0.04,0.00,-0.01,-10.01,-0.61
2390487,1.00,0.04,-0.04,0.01,-0.05,-10.08,-0.59
2390520,1.00,0.04,-0.04,0.01,0.02,-10.00,-0.57
2390553,1.00,0.03,-0.04,0.01,0.00,-9.94,-0.56
2390586,1.00,0.03,-0.04,0.01,-0.17,-10.05,-0.56
2390619,1.00,0.03,-0.03,0.01,-0.11,-10.02,-0.56
2390652,1.00,0.03,-0.03,0.01,-0.22,-9.99,-0.56
2390684,1.00,0.03,-0.03,0.01,-0.27,-9.95,-0.55
2390716,1.00,0.03,-0.03,0.01,-0.28,-9.95,-0.59
2390749,1.00,0.03,-0.03,0.01,-0.40,-9.97,-0.60
2390782,1.00,0.03,-0.02,0.01,-0.29,-9.97,-0.66
2390815,1.00,0.03,-0.02,0.01,-0.41,-10.06,-0.64
2390848,1.00,0.03,-0.02,0.01,-0.44,-9.99,-0.64
2390881,1.00,0.03,-0.02,0.01,-0.30,-9.99,-0.65
2390913,1.00,0.03,-0.01,0.01,-0.42,-10.02,-0.67
2390945,1.00,0.03,-0.01,0.01,-0.39,-9.92,-0.70
2390977,1.00,0.03,-0.01,0.01,-0.42,-9.99,-0.64
2391010,1.00,0.03,-0.00,0.01,-0.40,-9.98,-0.68
2391043,1.00,0.03,0.00,0.01,-0.34,-9.96,-0.71
2391076,1.00,0.03,0.00,0.01,-0.37,-10.04,-0.68
2391109,1.00,0.03,0.01,0.01,-0.36,-9.98,-0.73
2391142,1.00,0.03,0.01,0.01,-0.31,-10.02,-0.71
2391175,1.00,0.03,0.01,0.01,-0.39,-10.01,-0.70
2391207,1.00,0.03,0.01,0.00,-0.36,-10.02,-0.69
2391239,1.00,0.03,0.02,0.00,-0.34,-9.97,-0.71
2391272,1.00,0.03,0.02,0.00,-0.40,-10.02,-0.69
2391305,1.00,0.03,0.02,0.00,-0.45,-9.95,-0.69
2391338,1.00,0.04,0.02,-0.00,-0.42,-9.99,-0.70
2391371,1.00,0.03,0.02,-0.00,-0.41,-9.98,-0.66
2391404,1.00,0.03,0.02,-0.00,-0.48,-9.99,-0.69
2391437,1.00,0.04,0.02,0.00,-0.40,-10.02,-0.71
2391469,1.00,0.03,0.02,0.00,-0.34,-10.00,-0.67
2391501,1.00,0.03,0.02,-0.00,-0.37,-9.93,-0.68
2391534,1.00,0.03,0.02,-0.00,-0.36,-10.03,-0.66
2391567,1.00,0.03,0.02,-0.00,-0.37,-9.95,-0.67
2391600,1.00,0.03,0.02,-0.00,-0.49,-10.00,-0.66
2391633,1.00,0.04,0.02,-0.00,-0.39,-9.95,-0.70
2391666,1.00,0.04,0.02,-0.00,-0.40,-9.98,-0.72
2391699,1.00,0.03,0.02,-0.00,-0.43,-10.05,-0.70
2391731,1.00,0.04,0.02,-0.00,-0.43,-10.03,-0.72
2391763,1.00,0.04,0.02,-0.00,-0.35,-9.97,-0.71
2391796,1.00,0.04,0.02,-0.00,-0.50,-9.97,-0.72
2391829,1.00,0.04,0.02,-0.00,-0.38,-9.97,-0.73
2391862,1.00,0.04,0.02,-0.00,-0.18,-9.97,-0.69
2391895,1.00,0.04,0.02,-0.00,-0.41,-10.05,-0.70
2391928,1.00,0.03,0.02,-0.00,-0.46,-10.02,-0.70
2391961,1.00,0.04,0.02,-0.00,-0.31,-9.96,-0.72
2391994,1.00,0.03,0.02,0.00,-0.40,-10.00,-0.70
2392027,1.00,0.04,0.02,-0.00,-0.36,-10.02,-0.70
2392059,1.00,0.04,0.02,-0.00,-0.40,-9.96,-0.72
2392091,1.00,0.04,0.02,-0.00,-0.41,-10.01,-0.73
2392124,1.00,0.03,0.02,-0.00,-0.35,-10.03,-0.68
2392157,1.00,0.03,0.02,-0.00,-0.25,-9.89,-0.68
2392190,1.00,0.03,0.01,-0.00,-0.22,-10.10,-0.73
2392223,1.00,0.03,0.01,-0.00,0.09,-10.02,-0.68
2392256,1.00,0.04,0.01,-0.00,-0.21,-9.87,-0.72
2392289,1.00,0.04,0.02,-0.00,-0.31,-10.17,-0.75
2392322,1.00,0.04,0.01,-0.00,-0.11,-9.99,-0.74
2392355,1.00,0.03,0.01,-0.00,-0.17,-9.98,-0.67
2392388,1.00,0.03,0.01,-0.00,-0.15,-10.13,-0.71
2392421,1.00,0.03,0.01,-0.00,-0.02,-9.95,-0.69
2392454,1.00,0.03,0.01,-0.00,-0.27,-10.06,-0.71
2392487,1.00,0.04,0.01,-0.00,-0.28,-9.96,-0.74
2392519,1.00,0.04,0.01,-0.00,-0.22,-9.98,-0.73
2392551,1.00,0.04,0.01,-0.00,-0.15,-9.97,-0.77
2392584,1.00,0.04,0.01,-0.00,-0.16,-10.06,-0.77
2392617,1.00,0.04,0.01,0.00,-0.11,-10.05,-0.78
2392650,1.00,0.04,0.00,0.00,-0.06,-9.99,-0.75
2392683,1.00,0.04,0.00,-0.00,-0.04,-9.98,-0.76
2392716,1.00,0.04,-0.00,0.00,-0.00,-9.95,-0.76
2392749,1.00,0.04,0.00,0.00,-0.08,-9.95,-0.74
2392781,1.00,0.04,0.01,0.00,-0.12,-9.96,-0.80
2392813,1.00,0.04,0.00,0.00,0.01,-9.97,-0.81
2392846,1.00,0.04,0.00,0.00,0.12,-9.95,-0.80
2392879,1.00,0.04,0.00,0.00,0.10,-9.98,-0.78
2392912,1.00,0.04,0.00,0.00,0.02,-10.05,-0.79
2392944,1.00,0.04,0.00,0.00,0.24,-9.99,-0.82
2392977,1.00,0.04,-0.00,0.00,0.32,-9.96,-0.83
2393010,1.00,0.04,-0.00,0.00,0.30,-10.00,-0.80
2393042,1.00,0.04,-0.01,0.00,0.36,-10.02,-0.81
2393074,1.00,0.04,-0.01,0.00,0.33,-9.96,-0.82
2393107,1.00,0.04,-0.01,0.00,0.25,-9.96,-0.83
2393140,1.00,0.04,-0.01,0.00,0.28,-9.96,-0.80
2393173,1.00,0.04,-0.01,0.00,0.24,-10.00,-0.77
2393206,1.00,0.04,-0.01,0.00,0.33,-10.01,-0.78
2393239,1.00,0.04,-0.02,0.00,0.50,-9.99,-0.80
2393272,1.00,0.04,-0.02,0.00,0.42,-10.01,-0.78
2393304,1.00,0.04,-0.02,0.00,0.40,-9.98,-0.78
2393337,1.00,0.04,-0.02,0.00,0.35,-9.94,-0.75
2393370,1.00,0.04,-0.02,0.00,0.32,-9.95,-0.78
2393403,1.00,0.04,-0.01,-0.00,0.24,-10.00,-0.77
2393436,1.00,0.04,-0.01,0.00,0.26,-10.00,-0.79
2393469,1.00,0.04,-0.01,0.00,0.28,-9.96,-0.78
2393502,1.00,0.04,-0.01,0.00,0.29,-10.00,-0.78
2393535,1.00,0.04,-0.01,0.00,0.23,-10.00,-0.79
2393567,1.00,0.04,-0.01,0.00,0.24,-9.96,-0.78
2393599,1.00,0.04,-0.01,0.00,0.22,-9.98,-0.79
2393632,1.00,0.04,-0.01,0.00,0.16,-9.98,-0.82
2393665,1.00,0.04,-0.01,-0.00,0.15,-10.02,-0.83
2393698,1.00,0.04,-0.01,-0.00,0.11,-10.00,-0.81
2393731,1.00,0.04,-0.01,0.00,0.11,-9.97,-0.78
2393764,1.00,0.04,-0.01,0.00,0.14,-9.94,-0.78
2393797,1.00,0.04,-0.01,0.00,0.10,-9.99,-0.84
2393829,1.00,0.04,-0.00,0.00,0.09,-10.00,-0.84
2393861,1.00,0.04,-0.01,0.00,0.18,-9.93,-0.91
2393894,1.00,0.04,-0.01,0.00,0.20,-9.91,-0.93
2393927,1.00,0.04,-0.01,-0.00,0.18,-10.00,-1.03
2393960,1.00,0.04,-0.01,-0.00,0.10,-10.00,-1.09
2393993,1.00,0.05,-0.01,-0.00,0.04,-9.88,-1.13
2394026,1.00,0.05,-0.01,-0.00,0.01,-9.88,-1.20
2394059,1.00,0.05,-0.00,-0.00,-0.04,-10.02,-1.21
2394091,1.00,0.05,-0.00,-0.00,0.00,-10.04,-1.21
2394123,1.00,0.05,-0.00,-0.00,0.14,-9.77,-1.21
2394156,1.00,0.06,-0.00,-0.00,0.08,-9.95,-1.19
2394189,1.00,0.05,-0.00,0.00,0.07,-10.14,-1.13
2394222,1.00,0.06,-0.01,0.00,0.13,-9.99,-1.10
2394255,1.00,0.06,-0.01,0.00,0.22,-9.70,-1.05
2394288,1.00,0.05,-0.01,0.00,0.26,-9.81,-1.04
2394321,1.00,0.05,-0.01,0.00,0.27,-9.98,-1.10
2394354,1.00,0.05,-0.01,0.00,0.28,-10.08,-1.11
2394387,1.00,0.05,-0.02,0.00,0.35,-9.96,-1.07
2394420,1.00,0.05,-0.01,0.00,0.33,-9.92,-1.02
2394453,1.00,0.05,-0.01,0.00,0.42,-9.92,-0.90
2394486,1.00,0.05,-0.02,0.00,0.47,-9.77,-0.87
2394519,1.00,0.05,-0.02,0.00,0.54,-9.97,-0.86
2394552,1.00,0.05,-0.02,0.00,0.62,-9.93,-0.90
2394585,1.00,0.05,-0.02,0.00,0.56,-9.95,-1.04
2394618,1.00,0.05,-0.02,-0.00,0.43,-9.92,-1.11
2394651,1.00,0.05,-0.02,-0.00,0.33,-9.83,-1.24
2394683,1.00,0.05,-0.02,-0.00,0.19,-10.03,-1.34
2394716,1.00,0.05,-0.02,-0.01,0.14,-10.14,-1.39
2394749,1.00,0.05,-0.02,-0.01,0.14,-10.03,-1.39
2394782,1.00,0.05,-0.02,-0.01,0.17,-10.00,-1.44
2394815,1.00,0.05,-0.02,-0.01,0.22,-10.03,-1.36
2394848,1.00,0.06,-0.02,-0.00,0.33,-9.94,-1.32
2394880,1.00,0.06,-0.02,-0.00,0.39,-9.92,-1.24
2394912,1.00,0.06,-0.02,-0.00,0.54,-9.94,-1.22
2394945,1.00,0.06,-0.02,0.00,0.66,-9.96,-1.15
2394978,1.00,0.06,-0.02,0.00,0.75,-9.75,-1.13
2395011,1.00,0.06,-0.02,0.00,0.80,-9.71,-1.13
2395044,1.00,0.06,-0.02,0.01,0.77,-9.90,-1.11
2395077,1.00,0.06,-0.03,0.01,0.70,-10.06,-1.13
2395110,1.00,0.06,-0.03,0.01,0.65,-10.05,-1.11
2395142,1.00,0.06,-0.03,0.00,0.55,-10.08,-1.08
2395174,1.00,0.06,-0.03,0.00,0.51,-9.81,-1.02
2395207,1.00,0.06,-0.03,0.00,0.45,-9.89,-0.96
2395240,1.00,0.05,-0.03,0.00,0.48,-9.77,-0.89
2395273,1.00,0.05,-0.03,0.00,0.52,-9.95,-0.92
2395306,1.00,0.05,-0.03,0.00,0.50,-9.96,-0.89
2395339,1.00,0.05,-0.03,0.00,0.53,-9.96,-0.90
2395372,1.00,0.04,-0.02,-0.00,0.45,-10.05,-0.88
2395404,1.00,0.05,-0.02,-0.00,0.43,-9.56,-0.88
2395437,1.00,0.05,-0.02,-0.00,0.33,-9.66,-1.00
2395470,1.00,0.05,-0.02,-0.00,0.16,-10.22,-1.14
2395503,1.00,0.05,-0.02,-0.01,0.13,-10.41,-1.12
2395536,1.00,0.05,-0.02,-0.01,0.10,-9.97,-1.08
2395569,1.00,0.05,-0.01,-0.01,0.23,-9.68,-1.11
2395602,1.00,0.05,-0.01,-0.00,0.35,-9.80,-1.09
2395635,1.00,0.05,-0.02,-0.00,0.49,-9.97,-1.10
2395667,1.00,0.05,-0.02,-0.00,0.51,-9.94,-1.09
2395699,1.00,0.05,-0.02,0.00,0.69,-9.96,-1.08
2395732,1.00,0.05,-0.02,0.00,0.80,-10.05,-1.08
2395765,1.00,0.05,-0.02,0.00,0.75,-10.07,-1.05
2395798,1.00,0.05,-0.03,0.00,0.75,-9.93,-1.05
2395831,1.00,0.05,-0.03,0.00,0.63,-9.87,-0.98
2395864,1.00,0.05,-0.03,0.00,0.59,-9.99,-1.02
2395897,1.00,0.05,-0.03,0.00,0.60,-9.96,-0.94
2395929,1.00,0.05,-0.03,0.00,0.66,-9.94,-1.02
2395961,1.00,0.05,-0.03,0.00,0.64,-9.92,-1.02
2395994,1.00,0.05,-0.03,0.00,0.66,-9.89,-1.08
2396027,1.00,0.06,-0.03,0.00,0.66,-9.95,-1.15
2396060,1.00,0.06,-0.03,0.00,0.63,-9.98,-1.15
2396092,1.00,0.06,-0.03,0.00,0.65,-10.00,-1.19
2396125,1.00,0.06,-0.04,0.00,0.67,-9.93,-1.17
2396158,1.00,0.06,-0.03,0.00,0.60,-9.95,-1.17
2396190,1.00,0.06,-0.03,0.00,0.60,-9.96,-1.18
2396222,1.00,0.06,-0.03,-0.00,0.57,-9.93,-1.12
2396255,1.00,0.06,-0.03,0.00,0.59,-9.91,-1.12
2396288,1.00,0.06,-0.03,0.00,0.66,-9.98,-1.12
2396321,1.00,0.06,-0.04,0.00,0.74,-9.96,-1.11
2396354,1.00,0.06,-0.03,0.00,0.70,-9.90,-1.10
2396387,1.00,0.06,-0.03,0.00,0.68,-9.94,-1.16
2396420,1.00,0.05,-0.03,0.00,0.67,-9.95,-1.11
2396452,1.00,0.06,-0.03,0.00,0.66,-10.00,-1.15
2396484,1.00,0.06,-0.04,0.00,0.70,-9.96,-1.14
2396517,1.00,0.06,-0.03,0.00,0.71,-9.90,-1.14
2396550,1.00,0.06,-0.04,0.00,0.68,-9.83,-1.14
2396583,1.00,0.06,-0.03,0.00,0.54,-9.89,-1.09
2396616,1.00,0.06,-0.03,0.00,0.45,-10.00,-1.18
2396649,1.00,0.06,-0.03,0.00,0.59,-10.19,-1.28
2396682,1.00,0.06,-0.04,0.00,0.76,-10.04,-1.25
2396715,1.00,0.06,-0.04,0.00,0.73,-9.80,-1.17
2396748,1.00,0.06,-0.04,0.00,0.48,-9.73,-1.13
2396781,1.00,0.06,-0.04,0.00,0.21,-9.73,-1.11
2396814,1.00,0.06,-0.03,0.00,-0.07,-10.03,-1.07
2396847,1.00,0.06,-0.03,0.00,0.16,-10.42,-1.09
2396880,1.00,0.06,-0.04,0.00,0.84,-9.93,-1.10
2396913,1.00,0.06,-0.05,0.00,0.58,-9.64,-0.99
2396946,1.00,0.06,-0.04,-0.00,0.11,-9.56,-0.86
2396979,1.00,0.06,-0.03,-0.00,-0.51,-10.08,-0.78
2397012,1.00,0.06,-0.03,-0.00,-0.09,-10.44,-0.88
2397045,1.00,0.06,-0.04,-0.00,0.50,-10.40,-1.00
2397078,1.00,0.06,-0.05,-0.00,0.69,-9.69,-0.90
2397111,1.00,0.06,-0.05,0.00,0.30,-9.49,-0.78
2397144,1.00,0.06,-0.04,0.00,-0.36,-9.70,-0.71
2397177,1.00,0.05,-0.03,0.00,-0.85,-10.07,-0.63
